Tool	Rank	Precision	Sensitivity	F1
Hybrid	Family	0.999601	0.965953	0.982489
Kraken2	Family	0.996387	0.961808	0.978792191478377
Centrifuger	Family	0.998702	0.966609	0.982393464971193
Kaiju	Family	0.965294	0.674275	0.793956962896956
Kraken2X	Family	0.950846	0.71244	0.814557116743603
Metabuli	Family	0.998978	0.944905	0.971189
